,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,class_10,class_prop_10,class_11,class_prop_11,class_12,class_prop_12,class_13,class_prop_13,class_14,class_prop_14,drifts_alerts,local_alerts
160,80500,0.966,0.9657303998054345,0.9634751072113029,0.9696969696969697,0.054802448474011375,0.9459459459459459,0.05941205546616527,0.8611111111111112,0.06911635073892117,1.0,0.055962160561689074,1.0,0.0653496861031444,1.0,0.05344749438005976,0.972972972972973,0.08432541542038173,0.9736842105263158,0.07263065971306142,0.9459459459459459,0.07103806750545183,0.9523809523809523,0.036380975624514617,1.0,0.05399542798417918,0.9459459459459459,0.09414326083028225,1.0,0.04643072929952324,0.9545454545454546,0.10545846986596344,0.9736842105263158,0.07750679803265119,0,0
161,81000,0.97,0.9651291496368357,0.9677542790071757,1.0,0.06717670800054917,0.8709677419354839,0.0546665650484691,0.9230769230769231,0.05472591592662944,1.0,0.05485181752993495,1.0,0.030543679725463364,1.0,0.0464275681642715,0.975,0.07078437963366101,1.0,0.08699686814049822,0.875,0.05745116650763447,1.0,0.1026904288792282,1.0,0.060605421167280286,0.9705882352941176,0.06944092292108346,1.0,0.06289890380874341,0.9230769230769231,0.11084824086181803,0.9555555555555556,0.06989141368473539,0,0
162,81500,0.972,0.9664668682294203,0.969928946396199,0.9523809523809523,0.05532533643644797,1.0,0.053274131475709294,0.88,0.06170577435532199,1.0,0.06717854926330688,1.0,0.05092633944293895,1.0,0.0834045241863336,1.0,0.07243066079930496,0.9666666666666667,0.03975503975969483,0.9375,0.08306904568907414,0.9310344827586207,0.0571206056400613,0.9473684210526315,0.09140017870168951,0.9459459459459459,0.054587305444771736,1.0,0.07787511842324886,0.975609756097561,0.07946507950307963,0.9696969696969697,0.07248231087901627,0,0
163,82000,0.95,0.951273319157322,0.9463219822218405,1.0,0.05855719312151258,0.9696969696969697,0.042602849368399955,0.9117647058823529,0.07325490823719567,0.9545454545454546,0.046700878908312156,0.9210526315789473,0.10426012913855505,0.9523809523809523,0.1001505738562964,1.0,0.026743130982021395,0.918918918918919,0.08349779092300362,0.825,0.06418516015528312,0.9393939393939394,0.06173632115768688,1.0,0.053889320938580516,1.0,0.07742443756794849,0.9705882352941176,0.04795196590243203,0.9736842105263158,0.06491668523016854,0.9487179487179487,0.09412865451260354,0,0
164,82500,0.952,0.9490550128326443,0.9485058102610755,0.9375,0.06780258214075434,0.9310344827586207,0.04706991608881262,0.8064516129032258,0.05501093843680828,0.96875,0.07766176696286774,0.9333333333333333,0.06475130282213298,0.967741935483871,0.049012224070953805,1.0,0.05952537677864883,0.9722222222222222,0.08393411539054485,0.926829268292683,0.08963513352793483,0.9444444444444444,0.055712488130428284,1.0,0.06064916184711919,0.975609756097561,0.10464111694003282,0.9736842105263158,0.05639005799153172,0.9166666666666666,0.06610914386020496,1.0,0.06209467501122465,0,0
165,83000,0.972,0.970086224504974,0.9699528259367206,1.0,0.05728385769509861,0.9642857142857143,0.07200345763566161,0.967741935483871,0.07279411467582703,0.9696969696969697,0.08635418985438914,1.0,0.05148761033459723,0.9714285714285714,0.05650105548954422,1.0,0.056675887431184374,1.0,0.05190439397377922,0.9714285714285714,0.08105921613994753,0.95,0.0752887851766441,0.9210526315789473,0.07847151136156189,0.9696969696969697,0.08929213645201481,0.9259259259259259,0.05136576924682663,0.972972972972973,0.060169559766343625,0.9714285714285714,0.059348454766579864,0,0
166,83500,0.944,0.9410084511907623,0.9399211250198475,0.9,0.037727676206324244,1.0,0.060847193489756826,0.7428571428571429,0.0543554541815407,1.0,0.0693691232824263,0.9375,0.04870643293630658,0.9,0.08168798455095816,1.0,0.07823331521948167,0.9459459459459459,0.09331596299688019,0.9767441860465116,0.09250456495291395,0.9629629629629629,0.0651454809797494,0.9333333333333333,0.05785611209273992,0.967741935483871,0.05845873002025522,0.9166666666666666,0.08923308348995665,0.9666666666666667,0.056020848796830315,1.0,0.05653803680388003,0,0
167,84000,0.966,0.9633299581227732,0.963507410142364,1.0,0.07452508861698236,0.9705882352941176,0.07206183886807174,0.8620689655172413,0.044779826226696434,1.0,0.10333126733485698,1.0,0.0876097432001245,1.0,0.07128972407228511,1.0,0.08630537372590145,0.9615384615384616,0.03974782727936426,0.9642857142857143,0.05798203402310307,0.9473684210526315,0.07751004897943568,0.9736842105263158,0.04374938039041493,0.9285714285714286,0.07279761660323393,1.0,0.050268486138888124,0.8888888888888888,0.06434667487557685,0.9666666666666667,0.05369506966506465,0,0
168,84500,0.962,0.9590516771417203,0.9592162654119586,0.9666666666666667,0.03491334734217557,0.9333333333333333,0.08786674118931731,0.9142857142857143,0.06715698050831655,1.0,0.05270799266784923,0.9705882352941176,0.07170459646124386,0.972972972972973,0.08992301611078124,1.0,0.09046831273343896,0.9090909090909091,0.052094619748933375,0.8620689655172413,0.07285605857355797,0.9333333333333333,0.0762516189310955,1.0,0.0560191184795611,0.9696969696969697,0.05370271611834176,1.0,0.07366561699836914,0.9666666666666667,0.05535022118184894,1.0,0.06531904295516953,0,0
169,85000,0.964,0.9586691978023768,0.9613455195162177,1.0,0.04888895917183877,0.975609756097561,0.12864171104831898,0.8636363636363636,0.036784464740502246,1.0,0.07092548667599176,1.0,0.07681020904181154,0.9696969696969697,0.06082369703347706,0.9696969696969697,0.06092945552091925,0.9411764705882353,0.07851367746507375,0.9032258064516129,0.08558222665448836,0.9523809523809523,0.08132240757189568,0.875,0.04732242662996564,1.0,0.04709149411537883,1.0,0.04877440857538464,0.9459459459459459,0.0729141874809839,1.0,0.05467518827396962,0,0
