,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
225,113000,0.978,0.9765770402630546,0.9754955468725635,0.9814814814814815,0.11087544435071316,1.0,0.1200745452993823,0.975,0.11471117846332872,1.0,0.09173471303828595,0.98,0.08277902149032203,0.975609756097561,0.10590847923850687,1.0,0.08740478021746088,0.9814814814814815,0.11214000763225497,0.8958333333333334,0.09604995555431083,0.9807692307692307,0.0783218747154342,0,0
226,113500,0.972,0.9705627099576902,0.9688686881265176,1.0,0.0684445100576211,1.0,0.09540452246985773,1.0,0.11415571076783027,1.0,0.10579664534780021,0.9791666666666666,0.09712405535074801,1.0,0.12122460331323756,0.9622641509433962,0.12049386272297337,1.0,0.09267965344440136,0.82,0.1059677709558454,0.96,0.07870866556968496,0,0
227,114000,0.96,0.9553336071517661,0.9554400958929136,1.0,0.12784160917819776,1.0,0.1304897108273448,1.0,0.07996216147890703,0.9803921568627451,0.1077742689836271,1.0,0.10037123907111403,1.0,0.09790791085146877,0.9534883720930233,0.1093352615238915,0.9714285714285714,0.05205367167804041,0.74,0.09176286339392177,0.9423076923076923,0.10250130301348678,0,0
228,114500,0.958,0.9596050620402744,0.9532246065298449,1.0,0.09282728112655511,1.0,0.1086430591527568,1.0,0.1259749466843543,1.0,0.06244711199965772,1.0,0.08538346050133015,0.9591836734693877,0.09566522606722819,0.9038461538461539,0.10023637503132139,0.98,0.10919536496372692,0.875,0.09891035684028321,0.890625,0.12071681763278629,0,0
229,115000,0.97,0.9688669138825338,0.9665764974843244,0.9655172413793104,0.08342371615240178,0.98,0.09266813450246536,0.9787234042553191,0.07899227938293676,1.0,0.05718286092964279,1.0,0.09420036387701916,1.0,0.14078951533250939,1.0,0.10731050552557168,1.0,0.1256293132332762,0.8333333333333334,0.13936519439562847,0.9444444444444444,0.08043811666854837,0,0
230,115500,0.958,0.9591127252687445,0.9532152277750053,0.9777777777777777,0.06675362357902771,0.9807692307692307,0.1201401474240917,1.0,0.06761517218360157,0.9795918367346939,0.12516437274977493,0.9607843137254902,0.11417103881501756,1.0,0.10758640276677335,1.0,0.09975073372069455,0.9565217391304348,0.1039363356873821,0.8363636363636363,0.10605556220747928,0.9122807017543859,0.08882661086615733,0,0
231,116000,0.97,0.9676322923053734,0.9666053689661467,0.9807692307692307,0.12742011780829055,1.0,0.10053517233367754,1.0,0.10064050031480044,0.9534883720930233,0.08029315138270983,0.9807692307692307,0.12261741906753418,1.0,0.11877137817563477,0.9777777777777777,0.08793520484393175,0.9818181818181818,0.10187923775637979,0.9056603773584906,0.08955844416320842,0.9024390243902439,0.07034937415383288,0,0
232,116500,0.97,0.9688184246720777,0.9665989739204788,1.0,0.1167051252739405,1.0,0.09206188144276069,1.0,0.0741051476845501,1.0,0.12608969165342515,0.9761904761904762,0.09355859191195776,1.0,0.08950793912845408,1.0,0.10612887821606364,0.9322033898305084,0.14506238232224936,0.8958333333333334,0.0850025171989823,0.8936170212765957,0.07177784516761647,0,0
233,117000,0.962,0.962602284881631,0.9576452544851446,0.9666666666666667,0.14191929374016987,1.0,0.12090115210693474,1.0,0.0790150658275908,1.0,0.08620492299741839,1.0,0.0847471190132441,1.0,0.08741364538895803,1.0,0.08311486502612547,0.9375,0.10234888432317348,0.9152542372881356,0.10663954105190021,0.8235294117647058,0.10769551052448496,0,0
234,117500,0.952,0.9518718745664727,0.9465274002513212,1.0,0.07854605146033865,1.0,0.09047757337325044,1.0,0.12569101604903649,1.0,0.14745584134614098,0.9722222222222222,0.050763792544502674,0.9821428571428571,0.10900320685375982,1.0,0.06926833842330693,0.9777777777777777,0.07174598640414849,0.8409090909090909,0.09374113298578333,0.7777777777777778,0.1633070605597322,0,0
