,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,class_10,class_prop_10,class_11,class_prop_11,class_12,class_prop_12,class_13,class_prop_13,class_14,class_prop_14,drifts_alerts,local_alerts
131,66000,0.59,0.5688640832807338,0.559437283210907,0.5882352941176471,0.058266970005243404,0.36666666666666664,0.04871859989935037,0.7857142857142857,0.07867441373098587,0.5151515151515151,0.06678304498936957,0.68,0.04762952748488829,0.782608695652174,0.10784638859723343,0.56,0.04804283337481424,0.7647058823529411,0.06309917673665993,0.5142857142857142,0.06416796589876027,0.5151515151515151,0.06820198834059536,0.45454545454545453,0.06718801530890717,0.5862068965517241,0.06816419980899625,0.5,0.04447280418215482,0.5853658536585366,0.10237254428632693,0.5142857142857142,0.06637152735571415,0,0
132,66500,0.622,0.6002985329600793,0.594498916518269,0.37037037037037035,0.05239668669143023,0.42857142857142855,0.0467771156456158,0.7,0.06031414938136801,0.7096774193548387,0.09773038794175727,0.6451612903225806,0.05972444362365016,0.8333333333333334,0.05620832463489337,0.6285714285714286,0.07295011987472495,0.5757575757575758,0.06168898165782937,0.7368421052631579,0.07550121981844553,0.7073170731707317,0.09425620357526311,0.5172413793103449,0.06177661497163812,0.6842105263157895,0.06935888884988174,0.4,0.06996854090042658,0.8108108108108109,0.05777745183933436,0.5161290322580645,0.06357087059374134,0,0
133,67000,0.652,0.6215364279160301,0.6261971358966758,0.40540540540540543,0.08097564245788019,0.39285714285714285,0.041159676994541705,0.7272727272727273,0.08913151378417511,0.7037037037037037,0.04912604796185913,0.6896551724137931,0.03941467736894104,0.4074074074074074,0.0656359682722028,0.6052631578947368,0.07738519121579332,0.6129032258064516,0.05998549524113912,0.8285714285714286,0.06895094668032586,0.8666666666666667,0.06986432455063935,0.6410256410256411,0.08608854625995907,0.8666666666666667,0.0435778185177692,0.5,0.06834502953557116,0.8863636363636364,0.09212103152662528,0.53125,0.06823808963257764,0,0
134,67500,0.528,0.48752492876307946,0.49230934710121543,0.5121951219512195,0.05686634768832381,0.3225806451612903,0.08167784574027277,0.6666666666666666,0.0651189061651308,0.5365853658536586,0.07127739482298058,0.6153846153846154,0.08945852637558427,0.2692307692307692,0.05789987829663242,0.5294117647058824,0.06904432009247473,0.6666666666666666,0.04701006349891043,0.4827586206896552,0.06162099010106541,0.6857142857142857,0.06597288370334434,0.30952380952380953,0.11754467382568924,0.7142857142857143,0.06921172865774952,0.24,0.07478509209692397,0.7647058823529411,0.03632256145122398,0.45,0.03618878748369387,0,0
135,68000,0.426,0.3894285478546712,0.3845058461221724,0.40625,0.05908026798407292,0.36666666666666664,0.051294724464563374,0.4411764705882353,0.09205871598640376,0.40625,0.057604952176210894,0.6785714285714286,0.05182584316162696,0.3333333333333333,0.057320017977569616,0.5769230769230769,0.05401365137913941,0.45714285714285713,0.05619780953859987,0.5882352941176471,0.08475513812115461,0.2926829268292683,0.05866924713463518,0.48484848484848486,0.056718438936639935,0.5581395348837209,0.0983751134656649,0.2777777777777778,0.09783742721722088,0.47058823529411764,0.08434664302689607,0.07407407407407407,0.03990200942960163,0,0
136,68500,0.426,0.38354818775759814,0.38270011700736456,0.5681818181818182,0.07793613132407556,0.3953488372093023,0.09809071025608486,0.5581395348837209,0.13082808053481745,0.25925925925925924,0.05435854558601842,0.43243243243243246,0.07911206771449167,0.1111111111111111,0.053897800063758904,0.6333333333333333,0.07244625875116986,0.46153846153846156,0.04497827508453454,0.625,0.05479209417418696,0.25806451612903225,0.05585622882491925,0.2903225806451613,0.050188946154030266,0.6060606060606061,0.06307796666781039,0.27906976744186046,0.061182857175316546,0.6129032258064516,0.044293874814069184,0.25806451612903225,0.05896016287471633,0,0
137,69000,0.558,0.549577949686044,0.5254170317304885,0.5217391304347826,0.04295348598276025,0.5555555555555556,0.09826653967348735,0.7857142857142857,0.04669576966681041,0.5882352941176471,0.07956659683023481,0.6111111111111112,0.08296031505239931,0.5476190476190477,0.1160004360825542,0.7666666666666667,0.03707575565093958,0.5151515151515151,0.08178366086439723,0.4666666666666667,0.04712527929749645,0.5,0.12070495484564113,0.36666666666666664,0.04957470295160278,0.68,0.04881605240110989,0.41379310344827586,0.036289000734496694,0.6097560975609756,0.060413547304263016,0.48484848484848486,0.051773902661807,0,0
138,69500,0.424,0.41235688803263343,0.38315499087583427,0.35135135135135137,0.07051849639822629,0.37037037037037035,0.04324347403899727,0.4444444444444444,0.0734307059837694,0.5,0.06278217938324736,0.5277777777777778,0.06710595508380916,0.45454545454545453,0.046305980720459175,0.5357142857142857,0.04691575841900536,0.5517241379310345,0.0759505749151742,0.19230769230769232,0.042661709852341426,0.5,0.07325399995334665,0.3953488372093023,0.12714147339937368,0.45,0.0714771895154522,0.3611111111111111,0.0679345263562233,0.34285714285714286,0.048331316599139605,0.3902439024390244,0.08294665938143482,0,0
139,70000,0.418,0.39132452599510514,0.374871107444834,0.5675675675675675,0.0821019296790255,0.3333333333333333,0.042024917975602434,0.5897435897435898,0.06468742365133567,0.34375,0.05465238725887927,0.3409090909090909,0.11696194209855046,0.47368421052631576,0.08775742295247922,0.5483870967741935,0.05599803750068667,0.44,0.054080381668621905,0.18518518518518517,0.07606792184205628,0.5348837209302325,0.06837846784225177,0.38095238095238093,0.09907400615487119,0.5652173913043478,0.05252756978883867,0.41379310344827586,0.03257546438451521,0.3125,0.0455052765936926,0.1875,0.06760685060859313,0,0
140,70500,0.338,0.3075238961370154,0.2923993860335458,0.45714285714285713,0.06931217634925899,0.2777777777777778,0.06285719718815722,0.5161290322580645,0.07410287995279696,0.22857142857142856,0.06937973455827075,0.48,0.054191090188875836,0.5588235294117647,0.06086196193083238,0.23684210526315788,0.09533613497797179,0.375,0.054881344984279774,0.2222222222222222,0.07923288215102939,0.5172413793103449,0.051080623105422676,0.07692307692307693,0.05231322217221567,0.5,0.06762097094836099,0.2727272727272727,0.056980637346771536,0.3142857142857143,0.05409531112017027,0.15384615384615385,0.09775383302558585,0,0
141,71000,0.394,0.3624336272038226,0.3499304876164976,0.4666666666666667,0.045444538872298566,0.5,0.05378448838802677,0.40625,0.08000116679449948,0.2608695652173913,0.04542665428871006,0.575,0.06624232266973763,0.40476190476190477,0.0913420163383704,0.41935483870967744,0.07085735013373029,0.3125,0.09401648406079721,0.46511627906976744,0.12045639680021318,0.41935483870967744,0.05143694839264853,0.10714285714285714,0.035896848968939916,0.5161290322580645,0.054375723657726055,0.39285714285714285,0.05224156006277546,0.21428571428571427,0.0751097633154028,0.35714285714285715,0.06336773725612362,0,0
142,71500,0.426,0.4010225247507938,0.38359371308542484,0.3055555555555556,0.05232515134239991,0.37142857142857144,0.07469658691785763,0.47058823529411764,0.0792732535951444,0.391304347826087,0.056838530382911784,0.5555555555555556,0.051952863676304584,0.5806451612903226,0.053916688931400406,0.5714285714285714,0.0767208020163978,0.6206896551724138,0.03696825028987918,0.3142857142857143,0.07667184730914924,0.5348837209302325,0.08539320922761846,0.13793103448275862,0.07438992665321019,0.36,0.04426150440908654,0.35,0.09036645377754418,0.40540540540540543,0.07707895948862702,0.3939393939393939,0.0691459719824687,0,0
143,72000,0.416,0.3839569921031702,0.3726797745084559,0.34615384615384615,0.04594654207230476,0.4318181818181818,0.09060306560528483,0.5,0.08746066675354783,0.1875,0.08027048665398229,0.45454545454545453,0.04538141466204994,0.4,0.043937088518401925,0.7352941176470589,0.07568696192063025,0.5882352941176471,0.07282803314909204,0.38461538461538464,0.08665314642785286,0.6,0.04269162113535471,0.20512820512820512,0.1002730985457555,0.37037037037037035,0.04162983243293652,0.16666666666666666,0.060318875659780544,0.5263157894736842,0.06660087872950737,0.34285714285714286,0.05971828773351861,0,0
144,72500,0.394,0.3734192200320053,0.34981610310242867,0.3953488372093023,0.10770126219733936,0.2972972972972973,0.08306036672672235,0.4117647058823529,0.0679246427808724,0.24242424242424243,0.04768961885419438,0.3333333333333333,0.07863445179895427,0.3076923076923077,0.05938458955312473,0.5555555555555556,0.03385156994881474,0.5185185185185185,0.054952432048083553,0.36666666666666664,0.04431717861769916,0.2702702702702703,0.06859687565433338,0.32,0.06834236668488941,0.65625,0.058951658476219714,0.2,0.06106450144387138,0.5,0.0673025807162759,0.5306122448979592,0.09822590449860515,0,0
145,73000,0.436,0.3822347197981372,0.3941581376163345,0.5945945945945946,0.08420313904652016,0.3783783783783784,0.060239771797665556,0.717948717948718,0.07385218700820588,0.23076923076923078,0.06310752355532531,0.4166666666666667,0.06527399079703479,0.4878048780487805,0.07392499066516682,0.46153846153846156,0.06365517240023941,0.6111111111111112,0.08616878876404241,0.3170731707317073,0.0723363649406899,0.5185185185185185,0.051154550153519295,0.08695652173913043,0.028061668860348433,0.47368421052631576,0.07388555650406263,0.26666666666666666,0.06366179292142786,0.2727272727272727,0.06619818727896438,0.5161290322580645,0.0742763153067871,0,0
146,73500,0.362,0.3173213988152672,0.31500966287309423,0.45,0.06883150838586732,0.10344827586206896,0.05562609757361623,0.5333333333333333,0.07936269620846455,0.23076923076923078,0.05479420559375991,0.3,0.06777424601227794,0.25,0.0390728331704134,0.7586206896551724,0.07947218301605774,0.43902439024390244,0.04864867262584655,0.3076923076923077,0.05692002486950416,0.4358974358974359,0.0812149414859924,0.14705882352941177,0.05391952077666962,0.45714285714285713,0.08010779962126775,0.16216216216216217,0.07975199892610853,0.46153846153846156,0.09491038058163064,0.3448275862068966,0.05959289115252341,0,0
147,74000,0.392,0.35428203465303104,0.34875749785775495,0.43333333333333335,0.05365086101963891,0.08571428571428572,0.06944465920817847,0.6086956521739131,0.05697025456493775,0.3333333333333333,0.07055778109681211,0.2727272727272727,0.06786530169952965,0.20689655172413793,0.049815767173246775,0.6756756756756757,0.07858108319703036,0.5,0.06929688156776628,0.32432432432432434,0.06432133540006486,0.4666666666666667,0.047692374678783345,0.34210526315789475,0.07792720741701498,0.5675675675675675,0.07677540047813161,0.20512820512820512,0.05167844498650185,0.37142857142857144,0.076171394703871,0.5405405405405406,0.08925125280849208,0,0
148,74500,0.396,0.3844399725158828,0.35268144210571445,0.5,0.045959564918081564,0.2857142857142857,0.05818372503193563,0.4473684210526316,0.06406979838908632,0.42857142857142855,0.06386452349470982,0.35,0.09631971253245732,0.39473684210526316,0.08909953748218324,0.6,0.03404552869738863,0.4827586206896552,0.04718625716176509,0.2903225806451613,0.06428919067556657,0.3103448275862069,0.07602995733753751,0.2727272727272727,0.07242501566925745,0.6875,0.0758753263588864,0.22857142857142856,0.08514677764974243,0.43243243243243246,0.05894042455659361,0.3235294117647059,0.06856466004480825,0,0
149,75000,0.39,0.3653856217106043,0.3438517836474957,0.3939393939393939,0.05229187209786156,0.27906976744186046,0.08753995689583112,0.5,0.07630966264988777,0.11538461538461539,0.07756488687981317,0.35294117647058826,0.05365352508622009,0.375,0.05996914334997651,0.5,0.050487950707461496,0.6,0.06434387123247522,0.41379310344827586,0.06092182836463364,0.375,0.07876837809533757,0.3333333333333333,0.060938985148470105,0.6388888888888888,0.06068861397955054,0.3225806451612903,0.07543335210189918,0.28125,0.07523117094030433,0.36585365853658536,0.06585680247027764,0,0
150,75500,0.346,0.0,0.2981688000618126,0.4117647058823529,0.04524177522449345,0.38636363636363635,0.07242652542836707,0.375,0.054224070976137906,0.09090909090909091,0.05523938814181658,0.3684210526315789,0.08008121812846725,0.4782608695652174,0.057979194121413745,0.38461538461538464,0.05963453818935679,0.5348837209302325,0.08203128520575831,0.4117647058823529,0.06797216730582295,0.38461538461538464,0.036025429637298455,0.23529411764705882,0.07559578740847249,0.4,0.04381579400182654,0.0,0.09040127932618429,0.3170731707317073,0.1035766645626068,0.45454545454545453,0.07575488234197754,0,0
151,76000,0.354,0.3253206032969005,0.30685505330563617,0.43243243243243246,0.06224746196528119,0.35294117647058826,0.06954477049426858,0.3333333333333333,0.06619325063056965,0.15789473684210525,0.04444340186150785,0.42857142857142855,0.06261601641434207,0.5714285714285714,0.05165744441631708,0.4074074074074074,0.07728473336151423,0.4318181818181818,0.0818004829399032,0.32432432432432434,0.05831044070146897,0.3142857142857143,0.06270292196275966,0.2,0.10540702370667933,0.4827586206896552,0.050461429449013176,0.08333333333333333,0.07074010582948191,0.45454545454545453,0.0770714132686554,0.375,0.05951910299823784,0,0
152,76500,0.348,0.0,0.3004772204483812,0.2692307692307692,0.05425448249140237,0.3142857142857143,0.060490760603698505,0.32432432432432434,0.11108880230954779,0.225,0.07158640595728763,0.46153846153846156,0.07447315347759553,0.3783783783783784,0.08110453946560159,0.46875,0.05387460786818117,0.5185185185185185,0.05783609871611459,0.3,0.06475636439157018,0.6,0.06671334054753092,0.03333333333333333,0.05311273603392271,0.6470588235294118,0.04652370048978216,0.0,0.07847138735657028,0.32142857142857145,0.04523576368386652,0.29411764705882354,0.08047785660732804,0,0
153,77000,0.48,0.43396589390728957,0.4398169494154705,0.18518518518518517,0.04244256693756318,0.5357142857142857,0.037324057916748185,0.525,0.052028551350202054,0.22857142857142856,0.056034463429985165,0.46153846153846156,0.0754931154016903,0.59375,0.07278320860204118,0.7142857142857143,0.08999187632676182,0.6341463414634146,0.06378638728806454,0.5263157894736842,0.07693096966965302,0.4666666666666667,0.03996286832474825,0.24,0.05992874417859007,0.6170212765957447,0.10538436511297453,0.3333333333333333,0.06846299129663902,0.43478260869565216,0.04951816829568614,0.46808510638297873,0.10992766586865267,0,0
154,77500,0.458,0.39265603685524764,0.4178177834110292,0.38461538461538464,0.06234549290187326,0.45454545454545453,0.06643528826719766,0.5,0.08004473164160159,0.16666666666666666,0.04650271485426639,0.6666666666666666,0.06243679947746351,0.4,0.062099824040371905,0.6,0.07755747145759573,0.45161290322580644,0.0751138778296663,0.5714285714285714,0.042982417477897224,0.3103448275862069,0.045377844171132053,0.06666666666666667,0.04317375378384063,0.7419354838709677,0.07134427123507146,0.3,0.09368033580704246,0.4722222222222222,0.06524111804023108,0.6216216216216216,0.1056640590147488,0,0
155,78000,0.428,0.3928166471551863,0.38565702477563596,0.4411764705882353,0.05910881999086257,0.36363636363636365,0.05230754734585913,0.3684210526315789,0.08227839859493505,0.13793103448275862,0.04342193287716951,0.3225806451612903,0.04870177024258108,0.4722222222222222,0.06886519083674744,0.46153846153846156,0.1034930691639292,0.6428571428571429,0.06447597943532153,0.5483870967741935,0.06944615858714312,0.36363636363636365,0.051713610653075635,0.19047619047619047,0.043521977450572506,0.6470588235294118,0.10618035380738122,0.35135135135135137,0.0802168982398596,0.5,0.07270989747572025,0.5142857142857142,0.053558395298842126,0,0
156,78500,0.396,0.3461824639977796,0.35164193459741694,0.25,0.07137647230809492,0.32432432432432434,0.05836400481381404,0.6388888888888888,0.1035981909525128,0.11764705882352941,0.05375984579001453,0.125,0.05979610149890357,0.41935483870967744,0.07062940483967073,0.5806451612903226,0.05336923700492762,0.6923076923076923,0.06497010182559577,0.3333333333333333,0.08721179439710897,0.25,0.05294291085510413,0.35135135135135137,0.06467548864017815,0.4375,0.06815313093885411,0.35294117647058826,0.05462615048543839,0.6774193548387096,0.06564251070923857,0.3125,0.07088465494054384,0,0
157,79000,0.294,0.0,0.23794967445555498,0.0,0.05008226454919773,0.13513513513513514,0.09675183768340591,0.5476190476190477,0.11158788666508702,0.1794871794871795,0.08994841202775364,0.14285714285714285,0.03781691326674772,0.36363636363636365,0.03825018858117042,0.45454545454545453,0.05913661936763004,0.6410256410256411,0.0619979325330894,0.06666666666666667,0.05771460996248012,0.2702702702702703,0.06752986898257994,0.20833333333333334,0.028198921797394805,0.40540540540540543,0.08569917249215428,0.058823529411764705,0.0899193914570079,0.43243243243243246,0.048399691321138534,0.2222222222222222,0.0769662893131625,0,0
158,79500,0.354,0.3203421924901916,0.30490098605067545,0.15151515151515152,0.08953706555100446,0.3333333333333333,0.07548508715332322,0.575,0.08795308690561142,0.2903225806451613,0.07547750327503554,0.3333333333333333,0.06495491123012068,0.1891891891891892,0.06948384446307378,0.3225806451612903,0.05523547795662018,0.6216216216216216,0.08122274655760334,0.22857142857142856,0.07343793767578828,0.43902439024390244,0.06268125868160067,0.2916666666666667,0.036528964062201186,0.5517241379310345,0.03858040419098101,0.16129032258064516,0.04765822941061462,0.3225806451612903,0.06024413765289507,0.42857142857142855,0.08151934523352668,0,0
159,80000,0.516,0.4844010942446821,0.4797645612179529,0.45714285714285713,0.07742969548525679,0.5263157894736842,0.06876947365460026,0.5,0.050314089141863284,0.6296296296296297,0.0474255263434654,0.5365853658536586,0.07653519501300507,0.16666666666666666,0.05293783923735799,0.5185185185185185,0.047961855666570165,0.7272727272727273,0.1064745993791495,0.5161290322580645,0.0655728376442836,0.5789473684210527,0.0760126685540604,0.45714285714285713,0.0769040695784303,0.5454545454545454,0.07235235760993321,0.43902439024390244,0.07151879177993148,0.4,0.024699304172911003,0.5675675675675675,0.08509169673918153,0,0
160,80500,0.414,0.3590913989962006,0.3713606501804388,0.21875,0.05368463406309249,0.4594594594594595,0.058232347982076486,0.3888888888888889,0.06774255216115677,0.25925925925925924,0.054849978108849146,0.4,0.06405120862870005,0.4230769230769231,0.05238516537749406,0.43243243243243246,0.08264949150530747,0.8157894736842105,0.0711882642349204,0.10810810810810811,0.06962665851887652,0.3333333333333333,0.03565829629458551,0.25806451612903225,0.05292285937656252,0.8157894736842105,0.10227174525040425,0.2608695652173913,0.05540897568812183,0.35555555555555557,0.10336084312987402,0.5,0.07596697967997856,0,0
161,81000,0.486,0.46244227874043625,0.4477346375677975,0.3684210526315789,0.06583971249401853,0.34375,0.06357871743745416,0.5769230769230769,0.05363688082285923,0.5151515151515151,0.05376027598383986,0.5,0.029935873516886792,0.6060606060606061,0.04550366794262978,0.475,0.0693757846176569,0.7058823529411765,0.08526564987798102,0.25,0.05630790306823678,0.3409090909090909,0.10064689789985891,0.32142857142857145,0.059399386035477536,0.7575757575757576,0.06805906127087966,0.41935483870967744,0.06164723019563461,0.47368421052631576,0.10864236741821895,0.6,0.07840059141836718,0,0
