,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
50,25500,0.106,0.0,-0.00016557550914468542,1.0,0.06649126556622229,0.0,0.05381496984911977,0.0,0.09801412996303874,0.0,0.1470710102592588,0.0,0.09739150630825058,0.0,0.11764554535453231,0.0,0.1016193196940927,0.0,0.11011550599408718,0.0,0.08703456160724896,0.0,0.12080218540414868,0,0
51,26000,0.07,0.0,-0.00022370594713656372,1.0,0.10030823201233093,0.0,0.09769736594850954,0.0,0.13748146256481444,0.0,0.10730623143478703,0.0,0.08823229597971396,0.0,0.08996928082072285,0.0,0.10578877530653183,0.0,0.09215098123560184,0.0,0.08944606506028589,0.0,0.09161930963670166,0,0
52,26500,0.084,0.0,-0.00020965093119955028,1.0,0.06570368322667165,0.0,0.11439798688713296,0.0,0.0932860048447222,0.0,0.11884225348784332,0.0,0.10981628428372132,0.0,0.08498195554233111,0.0,0.10250331255220523,0.0,0.08515874059525082,0.0,0.0881742140657193,0.0,0.13713556451440226,0,0
53,27000,0.1,0.0,-0.0002000400080015999,1.0,0.11745825463658328,0.0,0.1429928619301116,0.0,0.08564008425604125,0.0,0.10837301511978284,0.0,0.11637465241487163,0.0,0.12945509685358025,0.0,0.055218636206972774,0.0,0.08248348226171741,0.0,0.09522923278438399,0.0,0.06677468353595481,0,0
54,27500,0.112,0.0,-0.0002703433360367713,1.0,0.10398254833367894,0.0,0.10916515429393549,0.0,0.1065712416802027,0.0,0.10540087924454994,0.0,0.10693169205227873,0.0,0.09012508476645358,0.0,0.11772977915883352,0.0,0.08646251551011323,0.0,0.07451544836331352,0.0,0.09911565659664028,0,0
55,28000,0.084,0.0,-0.00020965093119955028,1.0,0.07189682874532433,0.0,0.10363823416945633,0.0,0.0927641008453003,0.0,0.1144923958604742,0.0,0.11945358171177753,0.0,0.08822242369878004,0.0,0.1329974806393992,0.0,0.09382259043119649,0.0,0.08333126357607598,0.0,0.09938110032221567,0,0
56,28500,0.104,0.0,-0.0002545290542682803,1.0,0.08145602211358553,0.0,0.10236999415715203,0.0,0.1257169034605806,0.0,0.08919626839104329,0.0,0.11907331698656275,0.0,0.08409948829942847,0.0,0.11498679889908134,0.0,0.06294937917781249,0.0,0.10436025881917432,0.0,0.11579156969557915,0,0
57,29000,0.096,0.0,-0.0002478490245370556,1.0,0.08867116665944677,0.0,0.06817724947558887,0.0,0.11874068314899884,0.0,0.10492460366388902,0.0,0.0905276668522104,0.0,0.10930835720332528,0.0,0.10438457661371388,0.0,0.11473563216040082,0.0,0.09962140717377856,0.0,0.1009086570486475,0,0
58,29500,0.096,0.0,-0.0002655572275825486,1.0,0.08483410443781464,0.0,0.10912242426789374,0.0,0.13197581917297802,0.0,0.09423495495665778,0.0,0.06360399763917593,0.0,0.09140597584276161,0.0,0.07046517477047472,0.0,0.15717900328367213,0.0,0.09457687925797216,0.0,0.10260166637059911,0,0
59,30000,0.1,0.0,-0.0002222716159146541,1.0,0.10805870996065774,0.0,0.09447991489789775,0.0,0.08956716224742076,0.0,0.08495226380182912,0.0,0.1234218099532225,0.0,0.09554837061657685,0.0,0.13965364727167917,0.0,0.060075319154472874,0.0,0.11089214085126405,0.0,0.09335066124497933,0,0
