,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
16,8500,0.19,0.0,-0.0004199293530617876,1.0,0.16710353398937935,0.0,0.20182437592844651,0.0,0.1927595388526905,0.0,0.21543517677333976,0.0,0.22287737445614375,0,0
17,9000,0.246,0.0,-0.0005042329025238071,1.0,0.2504790372464767,0.0,0.166447725650589,0.0,0.16119177449312508,0.0,0.2074668460184126,0.0,0.21441461659139688,0,0
18,9500,0.212,0.0,-0.0004977095204721175,1.0,0.23885396902723205,0.0,0.20693736200373175,0.0,0.15772681806893793,0.0,0.1743449990365649,0.0,0.2221368518635334,0,0
19,10000,0.204,0.0,-0.0005329471980049771,1.0,0.1997934979313426,0.0,0.21887904697329102,0.0,0.17440911633655834,0.0,0.19928217715092572,0.0,0.2076361616078824,0,0
20,10500,0.188,0.0,-0.0005224402890179204,1.0,0.16812136480605006,0.0,0.24635176889826182,0.0,0.19460651040125707,0.0,0.2005276317075375,0.0,0.1903927241868936,0,0
21,11000,0.206,0.0,-0.0005292472088510342,1.0,0.20541504601369,0.0,0.1946274183774087,0.0,0.17555979381743345,0.0,0.21424693544848294,0.0,0.21015080634298475,0,0
22,11500,0.174,0.0,-0.0005766034664043736,1.0,0.1847579056061367,0.0,0.1989688804524958,0.0,0.22834424971198525,0.0,0.21461753241176326,0.0,0.17331143181761918,0,0
23,12000,0.196,0.0,-0.0005326218434689259,1.0,0.17584159771947494,0.0,0.1929739283140963,0.0,0.17636760706858712,0.0,0.20668765176719767,0.0,0.24812921513064398,0,0
24,12500,0.176,0.0,-0.0004613778198683755,1.0,0.21352982620332273,0.0,0.19057093736309882,0.0,0.17895492955252035,0.0,0.17980120903967145,0.0,0.23714309784138676,0,0
25,13000,0.236,0.0,-0.0004766668936509059,1.0,0.22864048975359444,0.0,0.20438143258659863,0.0,0.19680062572154053,0.0,0.19754933997121882,0.0,0.17262811196704753,0,0
26,13500,0.204,0.0,4.522408534284944e-05,0.6138613861386139,0.16221054220220393,0.0,0.21775283255447414,0.0,0.2161651720773457,0.3883495145631068,0.21104178100570092,0.0,0.1928296721602751,0,0
27,14000,0.216,0.0,-0.0005462165569979679,1.0,0.25574800680548704,0.0,0.18585906615790876,0.0,0.19629635842335694,0.0,0.1697750438699126,0.0,0.19232152474333444,0,0
28,14500,0.182,0.0,-0.0004990264092603544,1.0,0.1994556368765188,0.0,0.18653783809717198,0.0,0.17923819970287272,0.0,0.2173374225950978,0.0,0.21743090272833884,0,0
29,15000,0.216,0.0,-0.0004696081834330492,1.0,0.18433093214831844,0.0,0.13481338890945366,0.0,0.23263998041743333,0.0,0.23061042057125947,0.0,0.21760527795353501,0,0
30,15500,0.194,0.0,-0.00041208041029307225,1.0,0.1850248332930883,0.0,0.20085174948404272,0.0,0.2195398671659729,0.0,0.20165019871399575,0.0,0.19293335134290035,0,0
31,16000,0.226,0.0,-0.0004756783587028551,1.0,0.2356757372405484,0.0,0.1791243151805351,0.0,0.23897490927073728,0.0,0.18791629817430847,0.0,0.15830874013387092,0,0
32,16500,0.204,0.0,-0.00047761494180637926,1.0,0.2066793366495342,0.0,0.20819289094459545,0.0,0.1812358657300078,0.0,0.2486793479329299,0.0,0.15521255874293274,0,0
33,17000,0.224,0.0,-0.0004228591466496083,1.0,0.2601922413886334,0.0,0.17356778893675898,0.0,0.17043915675818008,0.0,0.18360911185580592,0.0,0.21219170106062132,0,0
34,17500,0.204,0.0,-0.0005731926832456935,1.0,0.1673333885852532,0.0,0.2704153888212256,0.0,0.1581693294042798,0.0,0.13960418157918095,0.0,0.2644777116100601,0,0
35,18000,0.202,0.0,-0.00045634850984660073,1.0,0.1960305288645661,0.0,0.2067665814009492,0.0,0.2168432760599397,0.0,0.17363743845235363,0.0,0.20672217522219163,0,0
36,18500,0.224,0.0,-0.0004177001737838878,1.0,0.20064320389542023,0.0,0.16694642351083586,0.0,0.20999365913517803,0.0,0.21514832651936094,0.0,0.20726838693920507,0,0
37,19000,0.176,0.0,-0.000475954580334338,1.0,0.16326281729937356,0.0,0.2031036816961254,0.0,0.21354470457769076,0.0,0.20755043213290317,0.0,0.21253836429390693,0,0
