,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
10,5500,0.918,0.9112963524780106,0.8968392554310359,0.9795918367346939,0.19777669417397042,0.8953488372093024,0.15383637552908308,0.963302752293578,0.19419167698362233,0.9401709401709402,0.2422582526394298,0.7912087912087912,0.21193700067389454,0,0
11,6000,0.894,0.8871170265274096,0.8668582567977653,0.9911504424778761,0.22506988690809257,0.8333333333333334,0.17396962194208357,0.8446601941747572,0.22918325122171956,0.97,0.14773510488587416,0.8118811881188119,0.22404213504222995,0,0
12,6500,0.9,0.8988690034307644,0.8748491932778999,0.98989898989899,0.1642868941904552,0.8469387755102041,0.1727828805286267,0.8526315789473684,0.16160449953544928,0.9381443298969072,0.2160221923571871,0.875,0.2853035333882815,0,0
13,7000,0.966,0.9629502637022006,0.9573003792731017,0.9908256880733946,0.19599687289098258,0.9195402298850575,0.1748163123587198,0.946236559139785,0.18706351453045028,0.9913793103448276,0.27846589234750385,0.96875,0.1636574078723435,0,0
14,7500,0.966,0.9653848140792426,0.9573738265265185,0.9902912621359223,0.22961835339198683,0.9333333333333333,0.20784603580619382,0.9818181818181818,0.16884172177841586,0.9690721649484536,0.20492454051089073,0.9534883720930233,0.1887693485125127,0,0
15,8000,0.934,0.9334553817064988,0.9173011091675479,0.9484536082474226,0.20795743481206014,0.8990825688073395,0.19845138685051641,0.978494623655914,0.1576640728395446,0.963302752293578,0.24490966367025244,0.8817204301075269,0.19101744182762645,0,0
16,8500,0.97,0.9703024606494879,0.9623444827136072,0.9368421052631579,0.16710353398937935,0.9882352941176471,0.20182437592844651,0.9895833333333334,0.1927595388526905,0.9732142857142857,0.21543517677333976,0.9646017699115044,0.22287737445614375,0,0
17,9000,0.964,0.9628185969891664,0.9546649741590353,1.0,0.2504790372464767,0.968421052631579,0.166447725650589,0.9746835443037974,0.16119177449312508,0.9313725490196079,0.2074668460184126,0.9411764705882353,0.21441461659139688,0,0
18,9500,0.984,0.9833012102066756,0.979949271657293,1.0,0.23885396902723205,0.9795918367346939,0.20693736200373175,0.967741935483871,0.15772681806893793,0.978494623655914,0.1743449990365649,0.990990990990991,0.2221368518635334,0,0
19,10000,0.982,0.9818241678747714,0.9774685686532713,0.9901960784313726,0.1997934979313426,1.0,0.21887904697329102,0.9405940594059405,0.17440911633655834,0.9795918367346939,0.19928217715092572,1.0,0.2076361616078824,0,0
20,10500,0.962,0.9620759819482988,0.9524336449346839,1.0,0.16812136480605006,0.9716981132075472,0.24635176889826182,0.9207920792079208,0.19460651040125707,0.98,0.2005276317075375,0.94,0.1903927241868936,0,0
21,11000,0.942,0.93944970788761,0.9273292236756376,0.9514563106796117,0.20541504601369,0.9904761904761905,0.1946274183774087,0.8947368421052632,0.17555979381743345,0.9711538461538461,0.21424693544848294,0.8936170212765957,0.21015080634298475,0,0
22,11500,0.978,0.9770699165815526,0.9723952399355554,1.0,0.1847579056061367,1.0,0.1989688804524958,0.9504950495049505,0.22834424971198525,0.9900990099009901,0.21461753241176326,0.946236559139785,0.17331143181761918,0,0
23,12000,0.994,0.9939845577473689,0.9924855346542093,1.0,0.17584159771947494,0.9906542056074766,0.1929739283140963,0.9887640449438202,0.17636760706858712,1.0,0.20668765176719767,0.9905660377358491,0.24812921513064398,0,0
24,12500,0.992,0.9915667976998719,0.989942066301899,1.0,0.21352982620332273,0.968421052631579,0.19057093736309882,0.9897959183673469,0.17895492955252035,1.0,0.17980120903967145,1.0,0.23714309784138676,0,0
25,13000,0.982,0.9808717472922381,0.9774079373446796,1.0,0.22864048975359444,0.978021978021978,0.20438143258659863,0.967032967032967,0.19680062572154053,1.0,0.19754933997121882,0.96,0.17262811196704753,0,0
26,13500,0.99,0.9899719618607993,0.9874843554443054,1.0,0.16221054220220393,0.9894736842105263,0.21775283255447414,0.9901960784313726,0.2161651720773457,0.9902912621359223,0.21104178100570092,0.98,0.1928296721602751,0,0
27,14000,0.994,0.9936106353294486,0.9924686318516621,1.0,0.25574800680548704,0.9906542056074766,0.18585906615790876,1.0,0.19629635842335694,0.9871794871794872,0.1697750438699126,0.9902912621359223,0.19232152474333444,0,0
